Age,Gender,Academic_Level,Country,Governorate,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Relationship_Status,Conflicts_Over_Social_Media,Addicted_Score
24,Female,Undergraduate,Egypt,Fayoum,4.6,Snapchat,Yes,7.5,5,Single,4,7
20,Female,Undergraduate,Egypt,Beheira,6.7,TikTok,Yes,6.7,6,Single,3,7
22,Male,Graduate,Egypt,Assiut,6.2,Instagram,Yes,6.0,5,In Relationship,4,8
21,Female,Graduate,Egypt,Fayoum,5.3,TikTok,No,7.1,6,Single,3,5
22,Male,Undergraduate,Egypt,Qena,6.7,Instagram,Yes,5.9,5,In Relationship,4,8
20,Female,Graduate,Egypt,Aswan,3.1,Instagram,No,8.1,7,Single,1,4
19,Male,Undergraduate,Egypt,Fayoum,6.0,WeChat,Yes,5.7,5,Single,4,8
20,Male,High School,Egypt,Sharqia,5.0,Instagram,No,6.7,7,In Relationship,2,5
19,Female,Undergraduate,Egypt,Red Sea,4.4,TikTok,Yes,8.4,6,In Relationship,3,7
21,Female,Undergraduate,Egypt,Dakahlia,4.0,TikTok,Yes,7.6,7,Single,3,6
19,Female,Undergraduate,Egypt,Sharqia,7.0,Instagram,Yes,5.2,5,In Relationship,4,9
19,Male,Graduate,Egypt,Monufia,4.3,TikTok,Yes,7.0,6,Single,3,7
19,Female,High School,Egypt,Monufia,4.4,Facebook,Yes,8.0,5,In Relationship,3,7
19,Male,Graduate,Egypt,Qena,4.3,Facebook,No,7.0,7,Single,2,5
19,Male,Graduate,Egypt,Port Said,4.4,Snapchat,Yes,7.6,7,Single,3,7
19,Female,Undergraduate,Egypt,Sohag,6.9,TikTok,Yes,5.2,5,In Relationship,4,8
19,Male,Undergraduate,Egypt,Giza,3.8,TikTok,Yes,7.8,6,Single,3,7
22,Male,Undergraduate,Egypt,Suez,3.1,Instagram,No,8.3,7,Single,3,5
19,Female,Graduate,Egypt,Beheira,5.1,Instagram,Yes,7.3,5,Single,4,8
18,Female,Undergraduate,Egypt,Gharbia,3.8,TikTok,No,8.2,7,Single,2,5
20,Male,Undergraduate,Egypt,Fayoum,4.8,Facebook,No,6.2,7,In Relationship,2,5
24,Female,Graduate,Egypt,Luxor,4.8,Facebook,No,7.9,7,Single,3,5
20,Female,Undergraduate,Egypt,Qalyubia,5.6,Twitter,Yes,7.1,7,Single,2,7
20,Female,Graduate,Egypt,Luxor,6.2,WhatsApp,Yes,5.1,5,In Relationship,3,8
19,Female,Undergraduate,Egypt,Minya,6.8,TikTok,Yes,5.9,5,Single,4,8
22,Female,Graduate,Egypt,Aswan,7.1,Instagram,Yes,5.0,5,Single,4,7
20,Female,Graduate,Egypt,Ismailia,4.8,Instagram,No,7.6,8,Complicated,3,5
19,Female,Undergraduate,Egypt,Qalyubia,5.3,TikTok,Yes,6.6,6,Complicated,3,7
22,Female,Undergraduate,Egypt,Ismailia,4.2,YouTube,No,8.2,8,In Relationship,2,4
21,Male,High School,Egypt,Alexandria,3.4,Facebook,No,7.2,7,Single,2,5
21,Female,Graduate,Egypt,Dakahlia,5.1,Instagram,Yes,5.7,7,Single,2,7
21,Female,Undergraduate,Egypt,Sharqia,4.3,WhatsApp,Yes,8.8,7,In Relationship,3,7
21,Female,Graduate,Egypt,Cairo,3.5,TikTok,No,8.3,7,Single,2,5
21,Female,Undergraduate,Egypt,Beheira,6.1,Instagram,Yes,4.8,5,Single,4,8
19,Female,Graduate,Egypt,Qalyubia,4.7,LinkedIn,Yes,5.2,5,Single,4,8
22,Male,Undergraduate,Egypt,Sohag,6.2,TikTok,Yes,5.3,5,In Relationship,4,9
22,Male,Graduate,Egypt,Aswan,5.8,TikTok,Yes,6.4,6,Complicated,3,7
19,Female,Graduate,Egypt,Sharqia,6.4,Instagram,Yes,5.1,5,Single,4,8
22,Male,Undergraduate,Egypt,Dakahlia,3.5,Instagram,No,6.6,8,In Relationship,1,4
20,Female,Undergraduate,Egypt,Ismailia,6.4,TikTok,Yes,5.3,5,In Relationship,4,9
22,Female,Graduate,Egypt,Suez,4.3,TikTok,Yes,8.2,6,In Relationship,3,6
24,Male,Graduate,Egypt,Alexandria,4.7,TikTok,No,7.1,7,In Relationship,2,5
21,Female,Graduate,Egypt,Qalyubia,6.2,Instagram,Yes,7.3,5,Single,3,8
21,Male,Graduate,Egypt,Suez,4.4,Instagram,Yes,7.7,6,Single,3,7
19,Male,Undergraduate,Egypt,Monufia,5.2,WhatsApp,Yes,7.0,6,In Relationship,4,7
22,Female,Undergraduate,Egypt,Qena,4.9,Instagram,Yes,7.2,6,Single,4,7
19,Male,Undergraduate,Egypt,Aswan,5.1,Twitter,Yes,7.4,6,In Relationship,4,8
19,Male,Graduate,Egypt,Monufia,4.2,Instagram,Yes,5.2,6,Single,3,7
21,Male,Graduate,Egypt,Qalyubia,4.5,Facebook,No,7.6,8,Complicated,1,5
19,Male,Graduate,Egypt,Sohag,6.1,WhatsApp,Yes,6.5,6,In Relationship,4,8
20,Male,Graduate,Egypt,Monufia,4.4,WhatsApp,Yes,6.2,7,Single,2,6
19,Female,High School,Egypt,Ismailia,4.7,Facebook,Yes,7.5,6,In Relationship,3,8
23,Female,Graduate,Egypt,Aswan,4.8,Facebook,Yes,7.0,6,Single,3,7
19,Female,Graduate,Egypt,Luxor,3.9,Instagram,Yes,6.5,6,Single,3,8
24,Female,Graduate,Egypt,Aswan,4.7,Snapchat,No,6.4,7,Single,2,5
22,Male,Graduate,Egypt,Red Sea,5.7,Facebook,Yes,6.2,7,In Relationship,2,6
20,Female,Undergraduate,Egypt,Giza,4.1,Instagram,No,6.4,7,In Relationship,2,5
19,Male,Undergraduate,Egypt,Gharbia,3.2,TikTok,Yes,8.6,6,Single,4,7
19,Male,Undergraduate,Egypt,Dakahlia,4.5,Snapchat,No,6.6,7,Single,2,5
23,Female,Graduate,Egypt,Aswan,5.5,Instagram,Yes,7.4,6,Single,4,6
22,Female,Undergraduate,Egypt,Alexandria,5.3,WeChat,Yes,6.5,5,Single,3,7
21,Male,Undergraduate,Egypt,Cairo,3.6,Instagram,No,8.8,7,In Relationship,2,4
20,Female,Graduate,Egypt,Suez,4.4,LINE,Yes,8.0,7,In Relationship,3,7
22,Female,Undergraduate,Egypt,Alexandria,4.8,LinkedIn,Yes,7.0,6,In Relationship,3,7
20,Female,Graduate,Egypt,Ismailia,4.0,Facebook,No,7.7,7,Single,3,5
22,Female,High School,Egypt,Monufia,4.1,TikTok,Yes,7.9,6,Single,3,7
21,Female,Graduate,Egypt,Qalyubia,6.4,Instagram,Yes,5.8,6,Single,3,7
22,Male,Graduate,Egypt,Dakahlia,5.9,Instagram,Yes,6.1,6,Single,3,7
22,Female,Undergraduate,Egypt,Port Said,7.0,Instagram,Yes,5.2,5,Single,4,8
19,Female,Graduate,Egypt,Dakahlia,6.8,Instagram,Yes,5.3,4,Single,5,9
21,Male,Undergraduate,Egypt,Minya,5.5,TikTok,Yes,6.4,5,In Relationship,4,8
20,Male,Graduate,Egypt,Alexandria,4.2,TikTok,Yes,7.2,6,In Relationship,3,7
24,Female,Undergraduate,Egypt,Luxor,3.1,Facebook,No,8.9,8,Single,1,3
19,Female,Undergraduate,Egypt,Aswan,4.5,Facebook,Yes,7.4,6,Complicated,3,7
22,Male,Graduate,Egypt,Qena,4.2,Instagram,No,7.3,7,Single,3,5
23,Male,Graduate,Egypt,Giza,5.0,KakaoTalk,No,6.2,6,Single,2,6
19,Female,Graduate,Egypt,Sharqia,5.0,Instagram,Yes,5.7,6,Single,2,7
19,Female,Undergraduate,Egypt,Minya,4.2,Twitter,No,7.5,7,Single,4,5
22,Female,Undergraduate,Egypt,Aswan,5.9,TikTok,Yes,7.0,5,Single,4,8
20,Female,Graduate,Egypt,Cairo,5.7,TikTok,Yes,6.0,6,In Relationship,3,7
21,Female,Undergraduate,Egypt,Cairo,3.8,Instagram,Yes,8.4,5,Single,3,6
19,Female,Graduate,Egypt,Assiut,5.6,YouTube,Yes,5.5,5,Single,4,9
22,Female,Undergraduate,Egypt,Assiut,5.8,Instagram,Yes,5.7,5,Single,4,8
20,Male,Graduate,Egypt,Minya,3.2,WeChat,No,7.0,8,In Relationship,2,4
19,Male,Graduate,Egypt,Alexandria,4.3,Snapchat,No,6.6,8,In Relationship,2,5
19,Male,High School,Egypt,Suez,4.8,WhatsApp,Yes,6.7,7,In Relationship,3,7
19,Female,Graduate,Egypt,Red Sea,6.9,Instagram,Yes,5.4,5,Single,3,8
24,Male,Undergraduate,Egypt,Alexandria,2.5,Facebook,No,7.8,8,Single,2,4
20,Male,Graduate,Egypt,Beheira,4.0,TikTok,No,7.2,7,Single,3,5
20,Male,Undergraduate,Egypt,Beheira,5.5,Twitter,Yes,5.3,6,Single,3,7
22,Male,Graduate,Egypt,Gharbia,4.6,TikTok,Yes,6.9,7,Single,3,7
21,Female,Undergraduate,Egypt,Ismailia,4.6,Instagram,Yes,6.7,5,Single,4,7
19,Female,Undergraduate,Egypt,Aswan,6.5,TikTok,Yes,5.9,4,Single,4,9
24,Male,Undergraduate,Egypt,Beheira,3.4,YouTube,No,7.1,8,Single,2,4
22,Male,Undergraduate,Egypt,Monufia,5.4,Instagram,Yes,6.8,5,Single,4,7
24,Male,Undergraduate,Egypt,Qena,7.2,Instagram,Yes,5.4,5,In Relationship,4,8
22,Male,Undergraduate,Egypt,Gharbia,5.8,Instagram,Yes,7.0,6,In Relationship,4,7
19,Female,Graduate,Egypt,Qalyubia,6.4,Instagram,Yes,5.5,5,Single,3,8
21,Female,Undergraduate,Egypt,Giza,5.8,TikTok,Yes,5.5,5,Complicated,3,8
24,Female,Undergraduate,Egypt,Beheira,3.2,Instagram,No,7.8,7,In Relationship,2,4
20,Female,Undergraduate,Egypt,Dakahlia,4.4,Facebook,Yes,6.8,6,Complicated,2,7
19,Male,Graduate,Egypt,Beheira,5.4,TikTok,Yes,5.1,5,In Relationship,4,7
21,Male,Graduate,Egypt,Cairo,4.3,Snapchat,No,8.3,7,Single,3,5
21,Male,Graduate,Egypt,Suez,1.5,WeChat,No,9.4,8,Single,0,2
20,Female,Graduate,Egypt,Aswan,6.5,TikTok,Yes,5.3,5,Complicated,4,8
21,Male,Undergraduate,Egypt,Qalyubia,5.5,TikTok,Yes,6.6,5,Single,4,7
23,Female,Graduate,Egypt,Minya,4.6,TikTok,Yes,8.3,7,Single,3,6
22,Male,Undergraduate,Egypt,Beheira,4.8,VKontakte,Yes,6.8,6,In Relationship,4,7
23,Male,Graduate,Egypt,Suez,4.8,Instagram,Yes,6.7,5,In Relationship,3,6
21,Female,Graduate,Egypt,Sharqia,3.7,Instagram,No,7.9,8,Single,2,5
19,Female,Undergraduate,Egypt,Red Sea,4.4,TikTok,Yes,6.7,7,Single,2,7
20,Male,Graduate,Egypt,Cairo,2.4,Instagram,No,8.9,8,In Relationship,1,3
19,Male,Undergraduate,Egypt,Qalyubia,4.6,Facebook,No,8.0,6,Single,2,5
22,Female,Graduate,Egypt,Port Said,6.3,Facebook,Yes,5.9,6,Complicated,4,8
19,Male,Undergraduate,Egypt,Suez,2.9,Facebook,No,8.0,7,Single,3,5
22,Male,Undergraduate,Egypt,Sharqia,4.6,Instagram,Yes,7.4,6,Single,3,7
19,Male,Graduate,Egypt,Fayoum,5.9,Instagram,Yes,7.4,5,Single,3,7
22,Female,Undergraduate,Egypt,Ismailia,4.7,Instagram,No,7.3,6,Single,3,5
22,Male,Undergraduate,Egypt,Qalyubia,4.5,WeChat,Yes,6.9,7,In Relationship,2,7
19,Male,High School,Egypt,Qena,4.7,Instagram,Yes,7.6,6,In Relationship,3,7
20,Female,Undergraduate,Egypt,Qalyubia,7.1,LinkedIn,Yes,4.5,5,Single,4,8
20,Female,Undergraduate,Egypt,Alexandria,4.2,Instagram,No,7.5,7,In Relationship,3,5
20,Male,High School,Egypt,Minya,4.8,Facebook,No,7.0,7,Single,2,5
21,Male,Undergraduate,Egypt,Qalyubia,5.3,TikTok,Yes,5.7,7,Single,3,7
21,Male,Graduate,Egypt,Dakahlia,5.9,Instagram,Yes,5.6,5,In Relationship,4,7
19,Female,Undergraduate,Egypt,Fayoum,6.9,TikTok,Yes,5.6,5,In Relationship,4,8
21,Male,Graduate,Egypt,Assiut,8.5,Twitter,Yes,4.2,4,Single,5,9
20,Male,Undergraduate,Egypt,Monufia,5.5,Instagram,Yes,6.5,5,In Relationship,4,7
19,Female,Undergraduate,Egypt,Fayoum,4.9,WhatsApp,No,6.7,6,Single,2,5
19,Male,Graduate,Egypt,Gharbia,5.2,Instagram,Yes,5.8,6,In Relationship,2,7
22,Male,Graduate,Egypt,Giza,3.4,Twitter,No,8.1,8,In Relationship,1,4
21,Male,Graduate,Egypt,Ismailia,4.3,TikTok,Yes,6.4,6,In Relationship,2,7
24,Female,Undergraduate,Egypt,Red Sea,6.5,Instagram,Yes,6.1,5,In Relationship,4,8
22,Male,Graduate,Egypt,Fayoum,3.9,TikTok,No,8.9,8,In Relationship,1,4
20,Male,Graduate,Egypt,Alexandria,5.1,Twitter,Yes,7.3,7,Single,3,7
22,Female,Graduate,Egypt,Suez,4.9,WhatsApp,Yes,5.6,7,In Relationship,3,7
22,Female,Graduate,Egypt,Qalyubia,6.9,WhatsApp,Yes,6.7,5,In Relationship,4,8
