Age,Gender,Academic_Level,Governorate,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Relationship_Status,Conflicts_Over_Social_Media,Addicted_Score,Sleep_Deficit,Usage_Age_Ratio,Recovery_Capacity,Psychosocial_Load,Lifestyle_Balance,Wellness_Ratio,Stress_Density
24,Female,Undergraduate,Fayoum,4.6,Snapchat,Yes,7.5,5,Single,4,7,0.5,0.19166666666666665,37.5,18.4,1.3392857142857144,6.696428571428572,0.6666666666666666
20,Female,Undergraduate,Beheira,6.7,TikTok,Yes,6.7,6,Single,3,7,1.2999999999999998,0.335,40.2,20.1,0.8701298701298701,5.220779220779221,0.42857142857142855
22,Male,Graduate,Assiut,6.2,Instagram,Yes,6.0,5,In Relationship,4,8,2.0,0.2818181818181818,30.0,24.8,0.8333333333333333,4.166666666666667,0.6666666666666666
21,Female,Graduate,Fayoum,5.3,TikTok,No,7.1,6,Single,3,5,0.9000000000000004,0.2523809523809524,42.599999999999994,15.899999999999999,1.126984126984127,6.761904761904761,0.42857142857142855
22,Male,Undergraduate,Qena,6.7,Instagram,Yes,5.9,5,In Relationship,4,8,2.0999999999999996,0.30454545454545456,29.5,26.8,0.7662337662337663,3.831168831168831,0.6666666666666666
20,Female,Graduate,Aswan,3.1,Instagram,No,8.1,7,Single,1,4,0.0,0.155,56.699999999999996,3.1,1.975609756097561,13.829268292682928,0.125
19,Male,Undergraduate,Fayoum,6.0,WeChat,Yes,5.7,5,Single,4,8,2.3,0.3157894736842105,28.5,24.0,0.8142857142857143,4.071428571428571,0.6666666666666666
20,Male,High School,Sharqia,5.0,Instagram,No,6.7,7,In Relationship,2,5,1.2999999999999998,0.25,46.9,10.0,1.1166666666666667,7.816666666666666,0.25
19,Female,Undergraduate,Red Sea,4.4,TikTok,Yes,8.4,6,In Relationship,3,7,0.0,0.23157894736842108,50.400000000000006,13.200000000000001,1.5555555555555556,9.333333333333334,0.42857142857142855
21,Female,Undergraduate,Dakahlia,4.0,TikTok,Yes,7.6,7,Single,3,6,0.40000000000000036,0.19047619047619047,53.199999999999996,12.0,1.52,10.639999999999999,0.375
19,Female,Undergraduate,Sharqia,7.0,Instagram,Yes,5.2,5,In Relationship,4,9,2.8,0.3684210526315789,26.0,28.0,0.65,3.25,0.6666666666666666
19,Male,Graduate,Monufia,4.3,TikTok,Yes,7.0,6,Single,3,7,1.0,0.2263157894736842,42.0,12.899999999999999,1.3207547169811322,7.9245283018867925,0.42857142857142855
19,Female,High School,Monufia,4.4,Facebook,Yes,8.0,5,In Relationship,3,7,0.0,0.23157894736842108,40.0,13.200000000000001,1.4814814814814814,7.4074074074074066,0.5
19,Male,Graduate,Qena,4.3,Facebook,No,7.0,7,Single,2,5,1.0,0.2263157894736842,49.0,8.6,1.3207547169811322,9.245283018867925,0.25
19,Male,Graduate,Port Said,4.4,Snapchat,Yes,7.6,7,Single,3,7,0.40000000000000036,0.23157894736842108,53.199999999999996,13.200000000000001,1.4074074074074072,9.851851851851851,0.375
19,Female,Undergraduate,Sohag,6.9,TikTok,Yes,5.2,5,In Relationship,4,8,2.8,0.3631578947368421,26.0,27.6,0.6582278481012658,3.291139240506329,0.6666666666666666
19,Male,Undergraduate,Giza,3.8,TikTok,Yes,7.8,6,Single,3,7,0.20000000000000018,0.19999999999999998,46.8,11.399999999999999,1.625,9.75,0.42857142857142855
