Feature,Importance
Affects_Academic_Performance,0.8130557841397218
Stress_Density,0.09125920938879266
Wellness_Ratio,0.04788259172214365
Psychosocial_Load,0.02417634180353044
Recovery_Capacity,0.013226906645935392
Mental_Health_Score,0.0047869731428378595
Usage_Age_Ratio,0.0017467682356752986
Age,0.001604551881684846
Lifestyle_Balance,0.0004965385388847054
Sleep_Hours_Per_Night,0.0002730312752673792
Sleep_Deficit,0.00017598670623798575
Avg_Daily_Usage_Hours,0.00013835840473911393
Most_Used_Platform_LINE,0.0001238650387664162
Conflicts_Over_Social_Media,0.0001022447830714706
Governorate_Fayoum,0.00010213060581555377
Governorate_Cairo,8.267048258419199e-05
Academic_Level,6.151787240498166e-05
Governorate_Qalyubia,5.776249074174923e-05
Most_Used_Platform_Twitter,5.171252573130533e-05
Governorate_Aswan,5.0188434898443614e-05
Relationship_Status_Single,4.6828487969198576e-05
Governorate_Giza,4.555242012580106e-05
Governorate_Beheira,4.043968141017788e-05
Most_Used_Platform_Instagram,3.980989631407649e-05
Governorate_Qena,3.797064526955955e-05
Most_Used_Platform_YouTube,3.210370570479527e-05
Governorate_Sharqia,3.027714771405872e-05
Governorate_Monufia,2.9801444919844688e-05
Governorate_Sohag,2.8592406737117826e-05
Most_Used_Platform_WeChat,2.5577180868687363e-05
Governorate_Dakahlia,2.4820787548437193e-05
Governorate_Luxor,2.4803048540481143e-05
Governorate_Port Said,1.934139456183049e-05
Relationship_Status_In Relationship,1.7329147836172926e-05
Most_Used_Platform_KakaoTalk,1.532965966537436e-05
Governorate_Minya,1.5230610943199668e-05
Governorate_Red Sea,1.452815204316292e-05
Most_Used_Platform_TikTok,1.2086770371662418e-05
Most_Used_Platform_LinkedIn,1.131149748251052e-05
Governorate_Gharbia,1.0207031120529296e-05
Most_Used_Platform_WhatsApp,8.069489410760934e-06
Gender,7.937829817071154e-06
Governorate_Ismailia,6.917444160249669e-06
Governorate_Assiut,0.0
Governorate_Suez,0.0
Most_Used_Platform_Snapchat,0.0
Most_Used_Platform_VKontakte,0.0
