Student_ID,Feature_1,SHAP_1,Direction_1,Feature_2,SHAP_2,Direction_2,Feature_3,SHAP_3,Direction_3,Feature_4,SHAP_4,Direction_4,Feature_5,SHAP_5,Direction_5
0,Affects_Academic_Performance,-1.4274,Decreases Risk,Stress_Density,-0.2372,Decreases Risk,Age,0.0517,Increases Risk,Wellness_Ratio,-0.0461,Decreases Risk,Mental_Health_Score,-0.0428,Decreases Risk
1,Affects_Academic_Performance,0.8227,Increases Risk,Recovery_Capacity,0.1186,Increases Risk,Wellness_Ratio,0.0192,Increases Risk,Stress_Density,0.0183,Increases Risk,Academic_Level,0.0094,Increases Risk
2,Affects_Academic_Performance,0.9906,Increases Risk,Stress_Density,0.4905,Increases Risk,Wellness_Ratio,0.2555,Increases Risk,Recovery_Capacity,0.1615,Increases Risk,Psychosocial_Load,0.1399,Increases Risk
3,Affects_Academic_Performance,0.7415,Increases Risk,Stress_Density,-0.2434,Decreases Risk,Wellness_Ratio,-0.1369,Decreases Risk,Recovery_Capacity,-0.0297,Decreases Risk,Psychosocial_Load,0.014,Increases Risk
4,Affects_Academic_Performance,0.8291,Increases Risk,Recovery_Capacity,0.1201,Increases Risk,Age,-0.0434,Decreases Risk,Wellness_Ratio,0.0256,Increases Risk,Usage_Age_Ratio,-0.0189,Decreases Risk
5,Affects_Academic_Performance,0.7419,Increases Risk,Stress_Density,-0.3538,Decreases Risk,Wellness_Ratio,-0.1973,Decreases Risk,Psychosocial_Load,-0.125,Decreases Risk,Recovery_Capacity,-0.0531,Decreases Risk
6,Affects_Academic_Performance,0.7302,Increases Risk,Stress_Density,-0.2951,Decreases Risk,Wellness_Ratio,-0.1915,Decreases Risk,Psychosocial_Load,-0.1303,Decreases Risk,Age,0.0428,Increases Risk
7,Affects_Academic_Performance,0.9285,Increases Risk,Stress_Density,0.3162,Increases Risk,Psychosocial_Load,0.0878,Increases Risk,Recovery_Capacity,0.0748,Increases Risk,Wellness_Ratio,0.0746,Increases Risk
8,Affects_Academic_Performance,0.8833,Increases Risk,Stress_Density,0.1448,Increases Risk,Wellness_Ratio,0.1222,Increases Risk,Psychosocial_Load,0.0935,Increases Risk,Recovery_Capacity,0.0563,Increases Risk
9,Affects_Academic_Performance,-1.4998,Decreases Risk,Stress_Density,-0.2357,Decreases Risk,Recovery_Capacity,-0.1562,Decreases Risk,Wellness_Ratio,-0.1336,Decreases Risk,Age,-0.0382,Decreases Risk
